video_id,visit_id,fold
42446497,422516.0,Training
42446576,422356.0,Training
42447210,423070.0,Training
42447230,422380.0,Training
42447308,422378.0,Training
42897418,423461.0,Training
42897462,422862.0,Training
42897509,422847.0,Training
42897512,422847.0,Training
42897600,422379.0,Training
42897769,423335.0,Training
42897771,423335.0,Training
42897780,423307.0,Training
42897829,423327.0,Training
42897846,423321.0,Training
42897863,423315.0,Training
42897890,423296.0,Training
42897931,423792.0,Training
42897947,423305.0,Training
42897954,423305.0,Training
42897994,423316.0,Training
42898041,423249.0,Training
42898050,423791.0,Training
42898052,423791.0,Training
42898061,423777.0,Training
42898068,423770.0,Training
42898071,423614.0,Training
42898089,423611.0,Training
42898112,423613.0,Training
42898125,423980.0,Training
42898160,426265.0,Training
42898166,423928.0,Training
42898171,423928.0,Training
42898191,426247.0,Training
42898216,426264.0,Training
42898236,423974.0,Training
42898247,423974.0,Training
42898350,423943.0,Training
42898366,423982.0,Training
42898384,423976.0,Training
42898392,423964.0,Training
42898405,423956.0,Training
42898427,423939.0,Training
42898437,426274.0,Training
42898438,426274.0,Training
42898439,426268.0,Training
42898444,426268.0,Training
42898454,426166.0,Training
42898500,434689.0,Training
42898596,434695.0,Training
42898653,426157.0,Training
42898655,426157.0,Training
42898671,426151.0,Training
42898689,426144.0,Training
42898710,426131.0,Training
42898711,426131.0,Training
42898728,434698.0,Training
42898740,426154.0,Training
42898751,426150.0,Training
42898756,426146.0,Training
42898803,434688.0,Training
42898903,434651.0,Training
42898929,434643.0,Training
42898937,434638.0,Training
42898943,434636.0,Training
42898959,434625.0,Training
42898977,434970.0,Training
42899019,434648.0,Training
42899065,434623.0,Training
42899071,434975.0,Training
42899072,434975.0,Training
42899111,434969.0,Training
42899132,434955.0,Training
42899139,434955.0,Training
42899141,434952.0,Training
42899215,435325.0,Training
42899247,434906.0,Training
42899265,434903.0,Training
42899284,434894.0,Training
42899305,435326.0,Training
42899307,434891.0,Training
42899358,434907.0,Training
42899362,434904.0,Training
42899430,434876.0,Training
42899432,434872.0,Training
42899489,435359.0,Training
42899532,435364.0,Training
42899533,435358.0,Training
42899586,435339.0,Training
42899593,435732.0,Training
42899750,435379.0,Training
42899767,435369.0,Training
42899795,435342.0,Training
42899799,435736.0,Training
42899811,435734.0,Training
42899822,435724.0,Training
42899875,435658.0,Training
42899970,435664.0,Training
42923203,435661.0,Training
42923204,435661.0,Training
42923225,435654.0,Training
42923228,435933.0,Training
43649384,437126.0,Training
43649409,436997.0,Training
43649451,437135.0,Training
43649452,437135.0,Training
43649474,437128.0,Training
43649586,437169.0,Training
43649609,437167.0,Training
43649648,437253.0,Training
43649654,437252.0,Training
43649722,437219.0,Training
43649762,437294.0,Training
43649802,437299.0,Training
43649807,437299.0,Training
43828149,437450.0,Training
43828162,437445.0,Training
43828243,437429.0,Training
43828250,437429.0,Training
43828272,437546.0,Training
43828323,437424.0,Training
43828328,437424.0,Training
43828368,437534.0,Training
43828382,437533.0,Training
43828390,437709.0,Training
43828391,437709.0,Training
43828402,437530.0,Training
43828404,437530.0,Training
43828435,437524.0,Training
43828455,437520.0,Training
43828456,437520.0,Training
43828517,437686.0,Training
43828520,437686.0,Training
43828555,437680.0,Training
43895865,437740.0,Training
43895917,437830.0,Training
43895949,437833.0,Training
43895987,437980.0,Training
43896019,438026.0,Training
43896038,437983.0,Training
43896117,438020.0,Training
43896223,438109.0,Training
43896224,438109.0,Training
43896247,438102.0,Training
43896256,438101.0,Training
43896280,438111.0,Training
43896330,438376.0,Training
43896358,438368.0,Training
43896365,438362.0,Training
43896371,438362.0,Training
43896384,438426.0,Training
43896396,438422.0,Training
43896478,438425.0,Training
43896516,438459.0,Training
43896527,438458.0,Training
44358121,438777.0,Training
44358204,438803.0,Training
44358238,438794.0,Training
44358243,438794.0,Training
44358250,438804.0,Training
44358274,438793.0,Training
44358295,438966.0,Training
44358306,438963.0,Training
44358336,438969.0,Training
44358386,442394.0,Training
44358422,455339.0,Training
44358426,455337.0,Training
44358553,460405.0,Training
44358575,464239.0,Training
44358599,464241.0,Training
44358631,464232.0,Training
44358634,464761.0,Training
44358661,464233.0,Training
44796226,464750.0,Training
44796236,464748.0,Training
44796257,464746.0,Training
44796303,464805.0,Training
44796374,464792.0,Training
44796450,464977.0,Training
44796464,466113.0,Training
44796466,466113.0,Training
44796521,466112.0,Training
44796745,466238.0,Training
44796752,466234.0,Training
45260877,466440.0,Training
45260947,466176.0,Training
45260951,466437.0,Training
45260957,466437.0,Training
45260984,466346.0,Training
45261035,466374.0,Training
45261061,466363.0,Training
45261066,466363.0,Training
45261089,466656.0,Training
45261251,466750.0,Training
45261265,466739.0,Training
45261317,466828.0,Training
45261329,467253.0,Training
45261397,466832.0,Training
45261407,467252.0,Training
45261499,467102.0,Training
45261502,467102.0,Training
45261507,467287.0,Training
45261509,467287.0,Training
45261522,467283.0,Training
45261524,467283.0,Training
45261527,467283.0,Training
45261548,467326.0,Training
45261556,467324.0,Training
45261569,467312.0,Training
45261571,467312.0,Training
45261672,468477.0,Training
45662791,468509.0,Training
45662829,468605.0,Training
45662851,468514.0,Training
45662882,468603.0,Training
45663052,468781.0,Training
45663064,468775.0,Training
45663218,469254.0,Training
45663258,469238.0,Training
45663317,469419.0,Training
45663322,469403.0,Training
45663387,469421.0,Training
45663397,469560.0,Training
47115135,469617.0,Training
47115137,469617.0,Training
47115150,469607.0,Training
47115198,469822.0,Training
47115227,469800.0,Training
47115255,470039.0,Training
47115258,470039.0,Training
47115260,469818.0,Training
47115265,469818.0,Training
47115309,470334.0,Training
47115350,470443.0,Training
47115361,470325.0,Training
47115518,470511.0,Training
47115573,470944.0,Training
47115648,470942.0,Training
47115649,470942.0,Training
47204275,470998.0,Training
47204304,471103.0,Training
47204350,470995.0,Training
47204377,471100.0,Training
47204398,471160.0,Training
47204426,471306.0,Training
47204494,471304.0,Training
47204506,471663.0,Training
47204524,471655.0,Training
47204585,471656.0,Training
47204680,472035.0,Training
47204730,472331.0,Training
47204744,472484.0,Training
47204786,472473.0,Training
47204800,472335.0,Training
47204887,472595.0,Training
47204888,472595.0,Training
47204921,478018.0,Training
47330996,470350.0,Training
47331002,470341.0,Training
47331028,470363.0,Training
47331084,470297.0,Training
47331103,470295.0,Training
47331174,471419.0,Training
47331220,471380.0,Training
47331273,468298.0,Training
47331292,468275.0,Training
47331294,468275.0,Training
47331396,470497.0,Training
47331397,470497.0,Training
47331409,470494.0,Training
47331432,470547.0,Training
47331491,470498.0,Training
47331508,470488.0,Training
47331522,470551.0,Training
47331527,470544.0,Training
47331536,466908.0,Training
47331558,466876.0,Training
47331573,466850.0,Training
47331598,466837.0,Training
47331621,466906.0,Training
47331631,466899.0,Training
47331684,466911.0,Training
47331705,466893.0,Training
47331710,466880.0,Training
47331771,466831.0,Training
47331819,470866.0,Training
47331878,470886.0,Training
47331891,470871.0,Training
47331894,470864.0,Training
47331910,470845.0,Training
47331934,470891.0,Training
47331936,470868.0,Training
47331947,470863.0,Training
47332015,470876.0,Training
47332025,470870.0,Training
47332063,470979.0,Training
47332080,470974.0,Training
47332081,471106.0,Training
47332177,471150.0,Training
47332197,471148.0,Training
47332232,471651.0,Training
47332241,471649.0,Training
47332301,471685.0,Training
47332326,472082.0,Training
47332384,472092.0,Training
47332397,472078.0,Training
47332418,472030.0,Training
47332454,472313.0,Training
47332501,472318.0,Training
47332505,472308.0,Training
47332508,472308.0,Training
47332519,472356.0,Training
47332605,472619.0,Training
47332636,472580.0,Training
47332648,472574.0,Training
47332653,472574.0,Training
47332705,469267.0,Training
47332778,469256.0,Training
47332792,469226.0,Training
47332819,469218.0,Training
47332834,469271.0,Training
47332837,469271.0,Training
47332986,469459.0,Training
47332990,469458.0,Training
47333000,469436.0,Training
47333053,469455.0,Training
47333055,469455.0,Training
47333058,469446.0,Training
47333061,469446.0,Training
47333110,469473.0,Training
47333133,469461.0,Training
47333175,469443.0,Training
47333239,467181.0,Training
47333277,467170.0,Training
47333298,467139.0,Training
47333357,467180.0,Training
47333462,467138.0,Training
47333493,467119.0,Training
47333624,469642.0,Training
47333653,469647.0,Training
47333670,469608.0,Training
47333674,469608.0,Training
47333686,467354.0,Training
47333698,468215.0,Training
47333699,468215.0,Training
47333746,467299.0,Training
47333754,467298.0,Training
47333762,467292.0,Training
47333771,468078.0,Training
47333786,467360.0,Training
47333801,467291.0,Training
47333815,468077.0,Training
47333840,468071.0,Training
47333846,467367.0,Training
47333964,467344.0,Training
47334001,467297.0,Training
47334052,469837.0,Training
47334055,469830.0,Training
47334167,470130.0,Training
47334189,470115.0,Training
47334267,470132.0,Training
47334311,468144.0,Training
47334341,468112.0,Training
47334356,468094.0,Training
47334392,468097.0,Training
47334469,468110.0,Training
47334482,468107.0,Training
47334487,468101.0,Training
47334491,468101.0,Training
47334552,468108.0,Training
47334559,468104.0,Training
47334566,468104.0,Training
47334589,468096.0,Training
47334608,481529.0,Training
47334615,481525.0,Training
47334629,481523.0,Training
47334647,481502.0,Training
47334655,481494.0,Training
47334714,481511.0,Training
47334760,481806.0,Training
47334783,481776.0,Training
47334837,481809.0,Training
47334868,481788.0,Training
47334871,481788.0,Training
47334883,481783.0,Training
47334912,482099.0,Training
47334938,482145.0,Training
47334957,482106.0,Training
47429688,470315.0,Training
47429773,471411.0,Training
47429774,471411.0,Training
47429806,471413.0,Training
47429830,471368.0,Training
47429883,471375.0,Training
47430074,470883.0,Training
47430088,470874.0,Training
47430100,470867.0,Training
47430103,470867.0,Training
47430132,470814.0,Training
47430154,471031.0,Training
47430213,471006.0,Training
47430221,471028.0,Training
47430248,471013.0,Training
47430313,471041.0,Training
47430314,471041.0,Training
47430328,471002.0,Training
47430402,471157.0,Training
47430449,471184.0,Training
47430452,471184.0,Training
47430531,471673.0,Training
47430543,471667.0,Training
47430554,471666.0,Training
47430565,472076.0,Training
47430568,472076.0,Training
47430584,472071.0,Training
47430588,472071.0,Training
47430608,472041.0,Training
47430633,472354.0,Training
47430637,472353.0,Training
47430640,472353.0,Training
47430654,472346.0,Training
47430679,472316.0,Training
47430688,472314.0,Training
47430689,472314.0,Training
47430731,472625.0,Training
47430739,472622.0,Training
47430751,472620.0,Training
47430789,472577.0,Training
47430808,469638.0,Training
47430852,469609.0,Training
47430862,469606.0,Training
47430898,469749.0,Training
47430940,469824.0,Training
47430942,469824.0,Training
47431043,470109.0,Training
47431088,468283.0,Training
47431107,481527.0,Training
47431138,481495.0,Training
47431146,481490.0,Training
47431160,481482.0,Training
47431190,481762.0,Training
47431194,481762.0,Training
47669851,481678.0,Training
47669880,481508.0,Training
47669903,481488.0,Training
47669917,481670.0,Training
47669936,481664.0,Training
47669943,481659.0,Training
47669984,482090.0,Training
47670116,482474.0,Training
47670124,482474.0,Training
47670136,482294.0,Training
47670158,482293.0,Training
47670201,482761.0,Training
47670232,482763.0,Training
47670242,482860.0,Training
47670299,482858.0,Training
47895191,471677.0,Training
47895206,471664.0,Training
47895233,472058.0,Training
47895235,472058.0,Training
47895320,472336.0,Training
47895446,478025.0,Training
47895466,478021.0,Training
47895476,478017.0,Training
47895493,482125.0,Training
47895571,482331.0,Training
47895576,482325.0,Training
47895608,482330.0,Training
47895614,482327.0,Training
47895656,482135.0,Training
47895672,482132.0,Training
47895678,482129.0,Training
47895816,482295.0,Training
47895824,482633.0,Training
47895830,482618.0,Training
47895871,482619.0,Training
47895891,482592.0,Training
47895946,482621.0,Training
47895951,482621.0,Training
47895962,482610.0,Training
48017887,482866.0,Training
48017892,482863.0,Training
48017950,482883.0,Training
48018012,482851.0,Training
48018013,482850.0,Training
48018079,483089.0,Training
48018089,483087.0,Training
48018115,483094.0,Training
48018122,483091.0,Training
48018127,483091.0,Training
48018165,483253.0,Training
48018228,483079.0,Training
48018238,483078.0,Training
48018252,483076.0,Training
48018286,483092.0,Training
48018291,483088.0,Training
48018315,483322.0,Training
48018412,483296.0,Training
48018426,483295.0,Training
48018455,483320.0,Training
48018486,483289.0,Training
48018531,483328.0,Training
48018542,483303.0,Training
48018549,483644.0,Training
48018634,483591.0,Training
48018697,483607.0,Training
48018713,483603.0,Training
48018721,483602.0,Training
48018760,484003.0,Training
48018771,483998.0,Training
48018791,483959.0,Training
48018802,483954.0,Training
48018845,483979.0,Training
48018851,483974.0,Training
48018853,483974.0,Training
48018887,483943.0,Training
48018900,483939.0,Training
48018915,483990.0,Training
48018923,483982.0,Training
48018932,483978.0,Training
48458221,483071.0,Training
48458245,483247.0,Training
48458260,483084.0,Training
48458301,483245.0,Training
48458582,484445.0,Training
48458626,484455.0,Training
48458714,484562.0,Training
48458716,484562.0,Training
48458762,484728.0,Training
48458766,484724.0,Training
48458772,484724.0,Training
41069042,381649.0,Validation
41069050,381644.0,Validation
41125700,382321.0,Validation
41125709,382321.0,Validation
41159541,381868.0,Validation
42444953,421845.0,Validation
42445966,422022.0,Validation
42445984,422024.0,Validation
42445988,422022.0,Validation
42445998,422024.0,Validation
42446016,422015.0,Validation
42446038,422015.0,Validation
42446049,422015.0,Validation
42446056,422012.0,Validation
42446083,422012.0,Validation
42446093,422008.0,Validation
42446100,422034.0,Validation
42446103,422034.0,Validation
42446114,422034.0,Validation
42446156,422018.0,Validation
42446541,422381.0,Validation
42897521,422829.0,Validation
42897550,422813.0,Validation
42897692,423437.0,Validation
42898574,426147.0,Validation
42898816,434650.0,Validation
42898817,434650.0,Validation
42898849,434659.0,Validation
42898862,434659.0,Validation
42899612,435374.0,Validation
42899617,435368.0,Validation
42899620,435368.0,Validation
42899690,435371.0,Validation
42899699,435361.0,Validation
42899725,435735.0,Validation
42899726,435735.0,Validation
44358442,460419.0,Validation
44358452,460417.0,Validation
44358538,460409.0,Validation
44358582,460410.0,Validation
45260900,466192.0,Validation
45260905,466189.0,Validation
45261190,466801.0,Validation
45261637,468076.0,Validation
47115469,470652.0,Validation
47115474,470652.0,Validation
47204556,471952.0,Validation
47331319,468286.0,Validation
47331339,469319.0,Validation
47331644,466858.0,Validation
47332916,469249.0,Validation
47333457,467172.0,Validation
47333916,467311.0,Validation
47333920,467311.0,Validation
47334093,469786.0,Validation
47334096,469786.0,Validation
47334103,469784.0,Validation
47334107,469782.0,Validation
47334237,470102.0,Validation
47334239,470101.0,Validation
47429912,471428.0,Validation
47429922,471425.0,Validation
47430475,471198.0,Validation
47430490,471185.0,Validation
47895355,472487.0,Validation
47895542,482084.0,Validation
47895732,482328.0,Validation
47895740,482324.0,Validation
47895743,482321.0,Validation
47895745,482321.0,Validation
48018347,483314.0,Validation
48018360,483314.0,Validation
48018386,483311.0,Validation
48018559,483621.0,Validation
48018560,483621.0,Validation
48018730,483632.0,Validation
48018741,483618.0,Validation
48018962,483964.0,Validation
48018966,483957.0,Validation
48458489,483953.0,Validation
48458650,484543.0,Validation
48458665,484534.0,Validation
